soft_id	soft_name	file_name	url	version	file_size	update_time	os_type
10041	曦力DVD视频制作专家	xcn-dvd-creator_6.1.4.0124	http://dl1sw.baidu.com/soft/38/10041/xcn-dvd-creator_6.1.4.0124.exe?version=3807236358	6.1.4.0124	34604209	2013/7/9 17:51	26
16902	挂机锁	screen_1.5.7.1	http://dl1sw.baidu.com/soft/d6/16902/screen_1.5.7.1.exe?version=4228841510	1.5.7.1	1064984	2013/7/8 18:28	30
10036	迅雷网盘	Thunderbox_1.1.2.20	http://dlsw.baidu.com/sw-search-sp/soft/12/10036/Thunderbox_1.1.2.20.exe?version=2705896507	1.1.2.20	11617968	2013/8/9 16:19	30
12327	盛大网盘	EverBox-2.0.0.10-Beta.exe	http://dl1sw.baidu.com/packages/18406.exe	2.0.0.10	2306867	2012/8/25 0:00	30
12146	启明网盘客户端	pdisk_3.8.8.0	http://dl1sw.baidu.com/soft/74/12146/pdisk_3.8.8.0.exe?version=4015759893	3.8.8.0	4212232	2013/7/9 18:31	26
11369	联想商务网盘		http://dl1sw.baidu.com/packages/18408.exe	1.2.2.36	2202009	2011/5/13 0:00	30
13254	云盘网客户端	YunPanV3.37.exe	http://dl1sw.baidu.com/packages/18409.exe	1	4404019	2012/8/31 0:00	30
10641	UU盘	uupan_1.0.2005.1128	http://dl1sw.baidu.com/soft/5d/10641/uupan_1.0.2005.1128.exe?version=4060538685	1.0.2005.1128	1375434	2013/7/9 18:22	30
17232	全能上网计时器	g_onlinetimer	http://dlsw.baidu.com/sw-search-sp/soft/da/17232/g_onlinetimer.exe?version=613777580	2.4.1	1742188	2013/8/9 18:31	62
15543	中格照片添加日期软件	pictime_setup290	http://dlsw.baidu.com/sw-search-sp/soft/50/15543/pictime_setup290.exe?version=1642609098	2.9	13168704	2013/8/8 16:24	31
11524	自动操作魔法师	gm_setup	http://dlsw.baidu.com/sw-search-sp/soft/d5/11524/gm_setup.exe?version=2885217036	3.2.0.0	4726972	2013/8/12 18:12	58
15276	放心乐儿童锁	etsinst.exe	http://dl1sw.baidu.com/packages/180291.exe	1.0.0.0	2621440	2012/10/15 0:00	30
17261	爱上互动视频	1350355541IsanuR1.0.6.5.exe	http://dl1sw.baidu.com/packages/180298.exe	1.0.6.5	16357785	2012/10/16 0:00	30
14849	新坐标金融理财终端	xzb_zyb	http://dlsw.baidu.com/sw-search-sp/soft/5c/14849/xzb_zyb.exe?version=322658870	1.0.0	9760864	2013/8/8 16:24	18
11398	乐掌柜CRM+进销存	HaoSetup	http://dlsw.baidu.com/sw-search-sp/soft/11/11398/HaoSetup.exe?version=2452168492	2.2.1.7	11047197	2013/8/21 11:26	62
14376	fcp4字体编辑软件	fcp4setup.exe	http://dl1sw.baidu.com/packages/7138.exe	4.1.11.159	4718592	2011/5/11 0:00	30
13903	novaPDF	novapp	http://dl1sw.baidu.com/soft/4a/13903/novapp.exe?version=6626437	0.7.3.355	6840984	2013/7/4 11:09	58
15434	115极速浏览器	115inst_1.1.5.116	http://dl1sw.baidu.com/soft/f9/15434/115inst_1.1.5.116.exe?version=91195532	1.1.5.116	27868936	2013/7/10 9:52	30
10873	宽带我世界	cncmax_3.0.0.1048	http://dl1sw.baidu.com/soft/1b/10873/cncmax_3.0.0.1048.exe?version=3043868213	3.0.0.1048	34078639	2013/7/9 18:12	30
16890	金山贝壳ARP防火墙	Antiarp_2009.12.2.57	http://dl1sw.baidu.com/soft/7c/16890/Antiarp_2009.12.2.57.exe.exe?version=3860464737	2009.12.2.57	2089864	2013/7/15 16:42	26
10970	1322游戏盒	youxihe_install	http://dlsw.baidu.com/sw-search-sp/soft/a9/10970/youxihe_install.exe?version=1277112571	1.8.0.1778	5624704	2013/8/16 17:43	62
13839	硬件检测大师	yingjian_1.00.11	http://dl1sw.baidu.com/soft/86/13839/yingjian_1.00.11.exe?version=1518614939	1.00.11	1604031	2013/7/15 16:50	62
14573	米鼠即时通讯系统	MSC2012_4.0	http://dl1sw.baidu.com/soft/47/14573/MSC2012_4.0.exe?version=4059934174	4	27373757	2013/6/8 10:15	62
16077	抢滩登陆战	ptdl_1.0	http://dlsw.baidu.com/sw-search-sp/soft/ae/16077/ptdl_1.0.exe?version=4147539765	1	27785571	2013/7/30 9:50	6
17226	Excel 转换成 PDF 转换器	FoxPDFExceltoPDFConverter_3.0.0.0	http://dlsw.baidu.com/sw-search-sp/soft/4b/17226/FoxPDFExceltoPDFConverter_3.0.0.0.exe?version=3510155372	3.0.0.0	14677615	2013/7/30 15:08	30
14009	PPT素材夹	pptsc_1.1.2.2	http://dl1sw.baidu.com/soft/bf/14009/pptsc_1.1.2.2.exe?version=2521642423	1.1.2.2	5333165	2013/6/8 17:19	30
16798	奇米影视盒	qimisetup_1.1.2.0	http://dl1sw.baidu.com/soft/81/16798/qimisetup_1.1.2.0.exe?version=2017678491	1.1.2.0	3224550	2013/7/9 17:54	30
15948	File Shredder	FileShredder_4.12	http://dl1sw.baidu.com/soft/cd/15948/FileShredder_4.12.exe?version=1649708338	4.12	2501272	2013/7/15 16:49	30
14326	中国银行网上银行登录安全控件	BOCNET_Client_2.1.0.0	http://dl1sw.baidu.com/soft/d3/14326/BOCNET_Client_2.1.0.0.exe?version=1244633704	2.1.0.0	1204160	2013/7/17 16:26	30
11934	51彩虹	CaiHong_2.3.0.1_2012_beta1	http://dl1sw.baidu.com/soft/aa/11934/CaiHong_2.3.0.1_2012_beta1.exe?version=1206450590	2.3.0.1	12452152	2013/7/10 11:06	62
13360	反恐行动	MatOnlineDl.exe	http://dl1sw.baidu.com/packages/18463.exe	1	1153433	2012/10/10 0:00	30
13231	双截龙格斗版	shuangjielong_1.0.0.1	http://dl1sw.baidu.com/soft/2d/13231/shuangjielong_1.0.0.1.exe?version=832608723	1.0.0.1	10119311	2013/7/10 16:13	62
